"","BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.DATE","high.end"
"10878",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",141,1069,NA,"R4","166 DUANE STREET, 7C","7C",10013,0,0,0,"0","2,311",0,2,"R4","02/27/2019","0"
"10879",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1156,NA,"R4","200 CHAMBERS STREET","26B",10007,0,0,0,"0","1,260",2005,2,"R4","10/05/2018","1"
"10880",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1164,NA,"R4","200 CHAMBERS, 6C","6C",10007,0,0,0,"0","1,534",2005,2,"R4","07/15/2019","1"
"10881",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1240,NA,"R4","200 CHAMBERS STREET","27E",10007,0,0,0,"0","1,344",2005,2,"R4","10/26/2018","1"
"10882",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1341,NA,"R4","200 CHAMBERS STREET","5R",10007,0,0,0,"0","577",2005,2,"R4","10/31/2018","0"
"10883",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1519,NA,"R4","101 WARREN STREET","7B",10007,0,0,0,"0","2,184",2006,2,"R4","10/26/2018","1"
"10884",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1549,NA,"R4","101 WARREN STREET, 11J","11J",10007,0,0,0,"0","1,650",2006,2,"R4","02/05/2019","1"
"10887",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1613,NA,"R4","101 WARREN STREET, 1250","1250",10007,0,0,0,"0","1,363",2006,2,"R4","06/06/2019","1"
"10888",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1625,NA,"R4","101 WARREN STREET, 1550","1550",10007,0,0,0,"0","1,920",2006,2,"R4","01/23/2019","1"
"10890",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1813,NA,"R4","111 MURRAY STREET, 8W","8W",10007,0,0,0,"0","2,217",2016,2,"R4","08/08/2019","0"
"10892",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1815,NA,"R4","111 MURRAY STREET, 9B","9B",10007,0,0,0,"0","792",2016,2,"R4","05/08/2019","1"
"10894",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1823,NA,"R4","111 MURRAY STREET, 10W","10W",10007,0,0,0,"0","2,217",2016,2,"R4","08/27/2019","1"
"10895",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1824,NA,"R4","111 MURRAY STREET, 11A","11A",10007,0,0,0,"0","1,126",2016,2,"R4","06/05/2019","1"
"10896",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1825,NA,"R4","111 MURRAY STREET, 11B","11B",10007,0,0,0,"0","792",2016,2,"R4","04/29/2019","1"
"10897",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1830,NA,"R4","111 MURRAY STREET, 12B","12B",10007,0,0,0,"0","792",2016,2,"R4","04/24/2019","1"
"10898",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1834,NA,"R4","111 MURRAY STREET, 14A","14A",10007,0,0,0,"0","1,126",2016,2,"R4","06/26/2019","1"
"10900",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1836,NA,"R4","111 MURRAY STREET, 14C","14C",10007,0,0,0,"0","825",2016,2,"R4","06/11/2019","1"
"10901",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1841,NA,"R4","111 MURRAY STREET","15C",10007,0,0,0,"0","825",2016,2,"R4","10/16/2018","1"
"10902",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1842,NA,"R4","111 MURRAY STREET, 15D","15D",10007,0,0,0,"0","761",2016,2,"R4","06/26/2019","0"
"10903",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1847,NA,"R4","111 MURRAY STREET, 17A","17A",10007,0,0,0,"0","1,593",2016,2,"R4","03/25/2019","1"
"10904",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1850,NA,"R4","111 MURRAY STREET, 18A","18A",10007,0,0,0,"0","1,593",2016,2,"R4","05/07/2019","1"
"10905",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1853,NA,"R4","111 MURRAY STREET, 19A","19A",10007,0,0,0,"0","1,593",2016,2,"R4","05/20/2019","1"
"10906",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1856,NA,"R4","111 MURRAY STREET, 20A","20A",10007,0,0,0,"0","1,593",2016,2,"R4","05/02/2019","1"
"10908",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1862,NA,"R4","111 MURRAY STREET, 22A","22A",10007,0,0,0,"0","1,593",2016,2,"R4","07/29/2019","1"
"10909",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1863,NA,"R4","111 MURRAY STREET, 22B","22B",10007,0,0,0,"0","1,581",2016,2,"R4","07/29/2019","1"
"10911",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1868,NA,"R4","111 MURRAY STREET, 24A","24A",10007,0,0,0,"0","1,593",2016,2,"R4","05/08/2019","1"
"10913",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1873,NA,"R4","111 MURRAY STREET","25W",10007,0,0,0,"0","2,685",2016,2,"R4","11/07/2018","1"
"10914",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1875,NA,"R4","111 MURRAY STREET","26B",10007,0,0,0,"0","1,581",2016,2,"R4","10/24/2018","1"
"10916",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1882,NA,"R4","111 MURRAY STREET, 28W","28W",10007,0,0,0,"0","2,685",2016,2,"R4","03/11/2019","1"
"10917",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1883,NA,"R4","111 MURRAY STREET, 29A","29A",10007,0,0,0,"0","1,593",2016,2,"R4","05/08/2019","1"
"10918",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1884,NA,"R4","111 MURRAY STREET, 29B","29B",10007,0,0,0,"0","1,581",2016,2,"R4","05/17/2019","1"
"10919",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1885,NA,"R4","111 MURRAY STREET","29W",10007,0,0,0,"0","2,685",2016,2,"R4","10/30/2018","1"
"10920",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1888,NA,"R4","111 MURRAY STREET","30W",10007,0,0,0,"0","2,685",2016,2,"R4","10/30/2018","1"
"10921",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1889,NA,"R4","111 MURRAY STREET, 33A","33A",10007,0,0,0,"0","1,926",2016,2,"R4","06/05/2019","1"
"10922",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1890,NA,"R4","111 MURRAY STREET","33B",10007,0,0,0,"0","1,666",2016,2,"R4","11/08/2018","1"
"10923",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1891,NA,"R4","111 MURRAY STREET, 33W","33W",10007,0,0,0,"0","2,279",2016,2,"R4","02/26/2019","1"
"10925",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1893,NA,"R4","111 MURRAY STREET","34B",10007,0,0,0,"0","1,666",2016,2,"R4","10/30/2018","1"
"10926",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1894,NA,"R4","111 MURRAY STREET, 34W","34W",10007,0,0,0,"0","2,279",2016,2,"R4","01/29/2019","1"
"10927",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1894,NA,"R4","111 MURRAY STREET","34W",10007,0,0,0,"0","2,279",2016,2,"R4","11/12/2018","1"
"10929",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1896,NA,"R4","111 MURRAY STREET, 35B","35B",10007,0,0,0,"0","1,666",2016,2,"R4","05/01/2019","1"
"10930",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1897,NA,"R4","111 MURRAY STREET","35W",10007,0,0,0,"0","2,279",2016,2,"R4","11/14/2018","1"
"10931",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1898,NA,"R4","111 MURRAY STREET, 36A","36A",10007,0,0,0,"0","1,926",2016,2,"R4","06/04/2019","1"
"10932",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1899,NA,"R4","111 MURRAY STREET","36B",10007,0,0,0,"0","1,666",2016,2,"R4","11/15/2018","1"
"10933",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1900,NA,"R4","111 MURRAY STREET","36W",10007,0,0,0,"0","2,279",2016,2,"R4","12/11/2018","1"
"10934",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1901,NA,"R4","111 MURRAY STREET, 37A","37A",10007,0,0,0,"0","1,926",2016,2,"R4","06/03/2019","1"
"10935",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1902,NA,"R4","111 MURRAY STREET, 37B","37B",10007,0,0,0,"0","1,666",2016,2,"R4","06/20/2019","1"
"10936",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1903,NA,"R4","111 MURRAY STREET, 37W","37W",10007,0,0,0,"0","2,279",2016,2,"R4","01/14/2019","1"
"10937",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1904,NA,"R4","111 MURRAY STREET, 38A","38A",10007,0,0,0,"0","1,926",2016,2,"R4","06/28/2019","1"
"10938",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1909,NA,"R4","111 MURRAY STREET","39W",10007,0,0,0,"0","2,279",2016,2,"R4","11/29/2018","1"
"10939",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1910,NA,"R4","111 MURRAY STREET, 40A","40A",10007,0,0,0,"0","1,926",2016,2,"R4","05/31/2019","1"
"10940",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1911,NA,"R4","111 MURRAY STREET, 40B","40B",10007,0,0,0,"0","1,666",2016,2,"R4","09/27/2019","1"
"10942",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1913,NA,"R4","111 MURRAY STREET, 41A","41A",10007,0,0,0,"0","1,926",2016,2,"R4","06/10/2019","1"
"10943",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1914,NA,"R4","111 MURRAY STREET","41B",10007,0,0,0,"0","1,666",2016,2,"R4","12/27/2018","1"
"10944",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1915,NA,"R4","111 MURRAY STREET, 41W","41W",10007,0,0,0,"0","2,279",2016,2,"R4","02/07/2019","1"
"10945",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1916,NA,"R4","111 MURRAY STREET, 42A","42A",10007,0,0,0,"0","1,926",2016,2,"R4","06/04/2019","1"
"10946",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1918,NA,"R4","111 MURRAY STREET","42W",10007,0,0,0,"0","2,279",2016,2,"R4","12/19/2018","1"
"10948",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1920,NA,"R4","111 MURRAY STREET, 43B","43B",10007,0,0,0,"0","1,666",2016,2,"R4","12/21/2018","1"
"10949",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1921,NA,"R4","111 MURRAY STREET, 43W","43W",10007,0,0,0,"0","2,279",2016,2,"R4","01/15/2019","1"
"10952",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1924,NA,"R4","111 MURRAY STREET, 44W","44W",10007,0,0,0,"0","2,289",2016,2,"R4","01/30/2019","1"
"10954",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1927,NA,"R4","111 MURRAY STREET, 46E","46E",10007,0,0,0,"0","2,833",2016,2,"R4","06/27/2019","1"
"10955",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1928,NA,"R4","111 MURRAY STREET, 46W","46W",10007,0,0,0,"0","3,208",2016,2,"R4","01/25/2019","1"
"10956",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1929,NA,"R4","111 MURRAY STREET, 47E","47E",10007,0,0,0,"0","2,852",2016,2,"R4","06/13/2019","1"
"10957",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1930,NA,"R4","111 MURRAY STREET, 47W","47W",10007,0,0,0,"0","3,217",2016,2,"R4","01/30/2019","1"
"10958",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1931,NA,"R4","111 MURRAY STREET, 48E","48E",10007,0,0,0,"0","2,876",2016,2,"R4","06/24/2019","1"
"10960",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1933,NA,"R4","111 MURRAY STREET, 49E","49E",10007,0,0,0,"0","2,900",2016,2,"R4","06/24/2019","1"
"10961",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1934,NA,"R4","111 MURRAY STREET, 49W","49W",10007,0,0,0,"0","3,243",2016,2,"R4","03/11/2019","1"
"10962",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1935,NA,"R4","111 MURRAY STREET, 50E","50E",10007,0,0,0,"0","2,929",2016,2,"R4","06/25/2019","1"
"10963",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1936,NA,"R4","111 MURRAY STREET, 50W","50W",10007,0,0,0,"0","3,260",2016,2,"R4","04/05/2019","1"
"10964",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1937,NA,"R4","111 MURRAY STREET, 51E","51E",10007,0,0,0,"0","2,962",2016,2,"R4","06/27/2019","1"
"10966",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1948,NA,"R4","111 MURRAY STREET","57W",10007,0,0,0,"0","3,787",2016,2,"R4","12/28/2018","1"
"10968",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1952,NA,"R4","111 MURRAY STREET, 59W","59W",10007,0,0,0,"0","3,892",2016,2,"R4","04/24/2019","1"
"10969",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",142,1954,NA,"R4","111 MURRAY STREET, 60W","60W",10007,0,0,0,"0","3,952",2016,2,"R4","06/28/2019","1"
"10971",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",180,1107,NA,"R4","67 HUDSON STREET, 2B","2B",10013,0,0,0,"0","1,144",1915,2,"R4","02/15/2019","0"
"10972",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",188,1109,NA,"R4","62 BEACH STREET","3A/B",10013,0,0,0,"0","3,759",0,2,"R4","11/15/2018","1"
"10973",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",188,1133,NA,"R4","62 BEACH STREET, PHB","PHB",10013,0,0,0,"0","2,384",0,2,"R4","04/11/2019","0"
"10974",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",188,1219,NA,"R4","53 NORTH MOORE STREET, 4A","4A",10013,0,0,0,"0","1,740",0,2,"R4","06/27/2019","1"
"10975",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",188,1244,NA,"R4","53 NORTH MOORE, 7D","7D",10013,0,0,0,"0","2,803",0,2,"R4","06/19/2019","1"
"10976",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",188,1505,NA,"R4","48 BEACH STREET, 2A","2A",10013,0,0,0,"0","2,292",1930,2,"R4","02/21/2019","1"
"10977",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",189,1027,NA,"R4","110 HUDSON STREET, 6","6",10013,0,0,0,"0","3,629",0,2,"R4","05/31/2019","1"
"10978",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",189,1027,NA,"R4","110 HUDSON STREET","6",10013,0,0,0,"0","3,629",0,2,"R4","11/20/2018","0"
"10979",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",190,1308,NA,"R4","27 NORTH MOORE STREET, 2B","2B",10013,0,0,0,"0","1,690",0,2,"R4","06/28/2019","1"
"10980",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",190,1318,NA,"R4","27 NORTH MOORE STREET, 3F","3F",10013,0,0,0,"0","2,481",0,2,"R4","06/20/2019","1"
"10982",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",190,1322,NA,"R4","27 NORTH MOORE STREET, 4D","4D",10013,0,0,0,"0","1,699",0,2,"R4","05/29/2019","1"
"10983",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",190,1325,NA,"R4","27 NORTH MOORE STREET, 5A","5A",10013,0,0,0,"0","2,134",0,2,"R4","06/26/2019","1"
"10984",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",190,1433,NA,"R4","25 NORTH MOORE ST","4B",10013,0,0,0,"0","2,149",0,2,"R4","10/22/2018","1"
"10985",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",190,1802,NA,"R4","11 NORTH MOORE STREET, 2B","2B",10013,0,0,0,"0","1,897",2013,2,"R4","12/13/2018","0"
"10987",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",193,1055,NA,"R4","395 BROADWAY, 13E","13E",10013,0,0,0,"0","1,200",1915,2,"R4","08/29/2019","1"
"10988",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",193,1711,NA,"R4","51 WALKER STREET","7A",10013,0,0,0,"0","1,550",2005,2,"R4","10/15/2018","1"
"10989",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",193,1714,NA,"R4","51 WALKER STREET, 8B","8B",10013,0,0,0,"0","1,642",2005,2,"R4","07/18/2019","1"
"10990",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",194,1501,NA,"R4","46 LISPENARD STREET, 1A","1A",10013,0,0,0,"0","3,185",1895,2,"R4","05/24/2019","0"
"10991",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",194,1502,NA,"R4","46 LISPENARD STREET, 1B","1B",10013,0,0,0,"0","3,896",1895,2,"R4","05/24/2019","0"
"10992",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",194,1506,NA,"R4","46 LISPENARD STREET, 3B","3B",10013,0,0,0,"0","1,920",1895,2,"R4","06/28/2019","1"
"10993",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",194,1509,NA,"R4","46 LISPENARD STREET, 5A","5A",10013,0,0,0,"0","1,920",1895,2,"R4","05/24/2019","0"
"10994",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",194,1510,NA,"R4","46 LISPENARD STREET, 5B","5B",10013,0,0,0,"0","1,920",1895,2,"R4","05/24/2019","0"
"10996",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",212,1010,NA,"R4","260 WEST BROADWAY, 4B","4B",10013,0,0,0,"0","1,431",1894,2,"R4","05/02/2019","0"
"10998",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",212,1017,NA,"R4","260 WEST BROADWAY, 5D","5D",10013,0,0,0,"0","1,681",1894,2,"R4","02/11/2019","0"
"10999",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",212,1018,NA,"R4","260 WEST BROADWAY, 5-6E","5-6E",10013,0,0,0,"0","1,365",1894,2,"R4","07/26/2019","1"
"11000",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",212,1025,NA,"R4","260 WEST BROADWAY, 6G","6G",10013,0,0,0,"0","1,334",1894,2,"R4","07/08/2019","1"
"11001",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",212,1404,NA,"R4","11 BEACH STREET, 1D","1D",10013,0,0,0,"0","2,651",1900,2,"R4","01/08/2019","0"
"11002",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",212,1406,NA,"R4","11 BEACH STREET, 3A","3A",10013,0,0,0,"0","3,844",1900,2,"R4","02/07/2019","1"
"11003",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",212,1409,NA,"R4","11 BEACH STREET","4A",10013,0,0,0,"0","3,844",1900,2,"R4","11/27/2018","1"
"11004",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",212,1415,NA,"R4","11 BEACH STREET, 6A","6A",10013,0,0,0,"0","3,844",1900,2,"R4","12/03/2018","1"
"11005",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",212,1424,NA,"R4","11 BEACH STREET","9A",10013,0,0,0,"0","3,880",1900,2,"R4","11/16/2018","1"
"11006",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",212,1425,NA,"R4","11 BEACH STREET","9B",10013,0,0,0,"0","5,443",1900,2,"R4","11/09/2018","1"
"11007",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",212,1427,NA,"R4","11 BEACH STREET, PH-B","PH-B",10013,0,0,0,"0","6,042",1900,2,"R4","05/09/2019","1"
"11008",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",214,1142,NA,"R4","145 HUDSON STREET, 7A","7A",10013,0,0,0,"0","3,908",0,2,"R4","06/24/2019","1"
"11009",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",214,1143,NA,"R4","145 HUDSON STREET","7B",10013,0,0,0,"0","3,298",0,2,"R4","10/29/2018","0"
"11010",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",214,1205,NA,"R4","7 HUBERT STREET, M5C","M5C",10013,0,0,0,"0","4,464",0,2,"R4","06/17/2019","1"
"11012",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",214,1215,NA,"R4","7 HUBERT STREET, 4D","4D",10013,0,0,0,"0","1,787",2004,2,"R4","08/21/2019","1"
"11013",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",214,1221,NA,"R4","7 HUBERT STREET, 6B","6B",10013,0,0,0,"0","4,016",2004,2,"R4","02/05/2019","1"
"11014",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",214,1224,NA,"R4","7 HUBERT STREET","7C",10013,0,0,0,"0","2,542",2004,2,"R4","11/14/2018","1"
"11015",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",214,1226,NA,"R4","7 HUBERT STREET, 8B","8B",10013,0,0,0,"0","3,253",0,2,"R4","09/18/2019","1"
"11016",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",214,1313,NA,"R4","407 GREENWICH STREET","5C",10013,0,0,0,"0","2,830",1915,2,"R4","11/19/2018","1"
"11017",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",215,1116,NA,"R4","415 GREENWICH ST, 3A","3A",10013,0,0,0,"0","2,318",1913,2,"R4","06/21/2019","1"
"11018",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",215,1121,NA,"R4","415 GREENWICH STREET, 3F","3F",10013,0,0,0,"0","2,452",1913,2,"R4","08/15/2019","1"
"11019",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",215,1134,NA,"R4","415 GREENWICH STREET, 5C","5C",10013,0,0,0,"0","2,261",1913,2,"R4","07/25/2019","1"
"11020",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",215,1135,NA,"R4","415 GREENWICH ST, 5D","5D",10013,0,0,0,"0","1,850",1913,2,"R4","02/12/2019","1"
"11021",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",215,1138,NA,"R4","415 GREENWICH STREET, 5G","5G",10013,0,0,0,"0","2,693",1913,2,"R4","06/26/2019","1"
"11022",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",215,1159,NA,"R4","415 GREENWICH STREET, 8D","8D",10013,0,0,0,"0","1,850",1913,2,"R4","12/21/2018","1"
"11023",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",217,1032,NA,"R4","79 LAIGHT STREET, 6D","6D",10013,0,0,0,"0","3,959",0,2,"R4","02/06/2019","0"
"11024",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",217,1234,NA,"R4","250 WEST STREET, 4G","4G",10013,0,0,0,"0","1,973",1906,2,"R4","02/07/2019","1"
"11025",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",217,1245,NA,"R4","250 WEST STREET, 5G","5G",10013,0,0,0,"0","1,973",1906,2,"R4","07/02/2019","1"
"11026",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",217,1251,NA,"R4","250 WEST STREET, 6C","6C",10013,0,0,0,"0","2,322",1906,2,"R4","06/26/2019","1"
"11028",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",217,1300,NA,"R4","250 WEST STREET, 11E","11E",10013,0,0,0,"0","1,993",1906,2,"R4","06/27/2019","1"
"11029",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",217,1402,NA,"R4","401 WASHINGTON STREET, 1B","1B",10013,0,0,0,"0","2,484",1915,2,"R4","06/27/2019","1"
"11030",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",217,1409,NA,"R4","401 WASHINGTON STREET, 3C","3C",10013,0,0,0,"0","3,708",1915,2,"R4","05/14/2019","1"
"11031",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",217,1410,NA,"R4","401 WASHINGTON STREET, 4A","4A",10013,0,0,0,"0","2,042",1915,2,"R4","04/11/2019","1"
"11032",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",217,1418,NA,"R4","401 WASHINGTON STREET, PHA","PHA",10013,0,0,0,"0","4,600",1915,2,"R4","06/14/2019","1"
"11034",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",217,1425,NA,"R4","412 GREENWICH STREET, 4D","4D",10013,0,0,0,"0","3,243",1915,2,"R4","06/10/2019","1"
"11035",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",217,1433,NA,"R4","412 GREENWICH STREET, PHC","PHC",10013,0,0,0,"0","4,986",1915,2,"R4","01/18/2019","1"
"11036",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",218,1110,NA,"R4","92 LAIGHT STREET, 4A","4A",10013,0,0,0,"0","2,221",2004,2,"R4","04/22/2019","1"
"11037",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",218,1124,NA,"R4","92 LAIGHT STREET","8A",10013,0,0,0,"0","2,666",2004,2,"R4","11/07/2018","1"
"11039",1,"TRIBECA","13 CONDOS - ELEVATOR APARTMENTS","2",218,1142,NA,"R4","416 WASHINGTON STREET, 2I","2I",10013,0,0,0,"0","1,912",2004,2,"R4","05/01/2019","1"
